id,package,title,dependencies,optional,state,completion,work_to_retire,stop_or_rollback
N01.05,N01,Remove dead build variants and create real module boundaries,N01.03; N03.03,False,PLANNED,The converted path has one shipping implementation with narrow inputs and no stale build switch resurrecting a forbidden route.,"Retired routes, accidental duplicate object inclusion and module-global coupling in completed slices.",Do not refactor every file simultaneously or remove a reachable sibling based on one-owner coverage.
N01.06,N01,Use reclaimed ITCM only for measured winners,N01.04,False,PLANNED,New residents improve measured whole-frame behavior and fit the actual byte/stack budget.,Avoidable instruction-fetch stalls for the selected remaining kernels.,A prediction based only on stall density is not acceptance; revert a combined pack that loses.
N02.01,N02,Inventory simultaneous and transient resource sets,N00.02; N00.06,False,PLANNED,"A source-derived resource model covers the full required catalogue and exposes per-case deficits, including slot-dependent layouts, uncommon states and transient peaks; a pilot allocation is not universal admission proof.",Anonymous allocation guesses and implicit post-GO demand assumptions.,An overfull plan is not solved by marking required content optional or lowering legal pool capacity.
N02.02,N02,Recover memory from actually retired representations,N02.01; N01.03,False,PLANNED,"Recovered bytes are available to the intended bank at its allocation boundary, with safety reserves preserved.",Duplicate or dead state proven unused; precise bytes credited only after runtime availability is confirmed.,Keep a necessary buffer until its consumer retires; moving it to another hidden heap is not reclamation.
N02.03,N02,Compile compact motion and resource banks,N02.01; N04.02,False,PLANNED,Banks are smaller/resident enough and directly consumable with a documented version transition.,"Runtime source format decoding, invariant coefficient work and redundant immutable payloads for converted banks.",Reject a representation that fits ROM but cannot meet runtime resident/transient limits or event fidelity.
N02.04,N02,Implement transactional admission and locked epochs,N02.02; N02.03,False,PLANNED,Complete native content is admitted atomically and stays valid through all qualified battle states.,Mandatory demand reads and repeated resource discovery in converted locked scenes.,"Fail closed at admission on missing resources, but leave product coverage OPEN; containment is not a successful port."
N02.05,N02,"Separate CSS, battle and transition residency",N02.04; N03.02,False,PLANNED,"Preview and battle resource sets are independently complete, bounded and correctly retired.",Unnecessary whole-roster gameplay residency in previews and accidental cross-scene reservations.,Do not hide unresident fighters or reuse the last rendered preview while claiming live output.
N02.06,N02,Qualify no-demand-read and bank capacity closure,N02.04; N02.05; N03.10; N05.08; N02.07; N10.07,False,PLANNED,"All required roster-stage capacity cases pass the generated static constraints and their assigned runtime admission/lifetime obligations; every locked profile has complete required resources, no undeclared demand work and no known legal admission failure.",Residual mandatory storage dependency in qualified battle banks.,No blanket zero-I/O claim when BGM streams; no accepted scene closure with an unclassified storage client.
N02.07,N02,Solve exhaustive roster-stage resource feasibility,N02.03; N00.06,False,PLANNED,Every required resource case has a complete legal feasible allocation witness or an explicit blocking deficit; N02.06 remains open until all required deficits and runtime obligations close.,Roster-specific capacity guesses and treating safe rejection as successful support.,Any unexplained missing resource case or legal allocation deficit blocks universal resource acceptance; do not hide it in a global mean.
N03.01,N03,Partition preflight into immutable and live checks,N00.03; N00.05; N02.01,False,PLANNED,A validation/mutation matrix states exactly what remains on the hot path and why.,Only immutable checks demonstrated to repeat are marked for removal; no speculative bulk validation deletion.,Any unowned mutation remains conservatively checked until its writer is identified; do not substitute an optimistic pointer comparison.
N03.02,N03,Implement binding and explicit invalidation,N03.01; N04.02,False,PLANNED,All bound fields have a mutation owner; tests invalidate the right scope without invalidating unrelated instances.,Repeated immutable root/material/parent discovery for bound instances.,A stale attachment or valid-looking wrong-generation handle blocks the migration; restore conservative ownership until fixed.
N03.03,N03,Prove the contract on one small actor,N03.02,False,PLANNED,The native actor is complete with a smaller hot path and no extra live mirror; pilot interface proof is separate from campaign speed claims.,Generic state construction and immutable conversions on every pilot actor draw.,Do not expand actor coverage until the contract is correct; do not claim significant four-CPU savings from an actor absent in that baseline.
N03.04,N03,Move a hot fighter to the bound hit path,N03.02; N03.03,False,PLANNED,Whole-owner cost improves in the real stress configuration with stable memory and complete native output.,Repeated successful-hit immutable preflight and source-shaped matrix/material setup for the pilot fighter.,Neutral micro-cost with a large new resident record is not enough; redesign the bound-state boundary before roster rollout.
N03.05,N03,Specialize transform and render classes,N03.04; N04.03,False,PLANNED,"Every reachable transform/render class is native and bounded; unsupported required classes are explicit blockers, not silent fallback.",Runtime callback/type discovery and generic whole-state branches inside converted emitters.,Do not collapse all classes to generic TRS or globally reorder translucency for material batching.
N03.06,N03,Extend the generator with native packet payloads,N03.01; N04.02; N00.05,False,PLANNED,Generated bytes and patch metadata have independent semantic and structural proof across the emitted owner set.,First-use native packet recording and invariant command translation for packet-qualified variants.,A self-consistent truncated packet must fail source closure; do not equate a valid buffer with complete geometry.
N03.07,N03,Implement small typed patch kernels,N03.06; N03.05,False,PLANNED,Patch work is bounded by actual changed inputs and cannot write outside validated spans or into an in-flight buffer.,"Per-frame invariant command construction, unnecessarily broad dirty patching and avoidable full packet copies.","Any stale frame, cross-instance color leak or command-state dependency is a correctness failure even when geometry counts match."
N03.08,N03,Qualify native packet transport and GX ownership,N03.07,False,PLANNED,"Whole-frame transport improves or the simpler equivalent route is retained, with valid hardware completion and no audio/service starvation.",Actual non-overlapped CPU submission work; no credit for hidden waits moved to another bracket.,DMA-only microbench wins that regress total time are reverted; do not assume DMA and ARM9 main-memory work overlap freely.
N03.09,N03,Expand packets across native owners and special states,N03.08; N03.11,False,PLANNED,Every required owner/variant has a complete native packet path and bounded independent instance state; unsupported legal combinations are not hidden behind pilot success.,Live recording/immutable preparation across the converted owner set.,One successful idle or CPU state does not close a fighter; missing special states block owner retirement.
N03.10,N03,Retire replaced renderer state and price the integrated path,N03.09; N01.05,False,PLANNED,"One authoritative native route remains for converted content, measured in the real shipped shape.",Completed renderer migration’s old preparation/recording infrastructure and redundant storage.,Retain no permanent old/new route pair solely for convenience; unconverted dependencies remain explicit and separate.
N03.11,N03,Prove duplicate-instance isolation and slot-sensitive behavior,N03.02; N03.08; N00.06,False,PLANNED,"Repeated fighters are independent, all required slot-sensitive mechanics have tests, and every claimed equivalence is property-scoped; remaining timing permutations are explicit obligations, not implied passes.",Shared mutable state keyed by fighter kind and unsupported slot-symmetry assumptions.,"A kind-shared clock/patch, wrong directed outcome or unproved timing equivalence blocks the corresponding case; preserve immutable sharing where it is valid."
N04.01,N04,Build the producer-consumer and helper graph,N00.01; N00.03,False,PLANNED,Every known target arithmetic family and bridge has an owner and migration path.,Unknown float families and leaf-only conversion proposals; no speed saving yet.,Unknown indirect targets remain blockers; do not declare zero runtime float from grep or the lack of FPU instructions.
N04.02,N04,"Freeze units, ranges and numeric ABI",N04.01; N00.05,False,PLANNED,Chosen native types have explicit range/rounding proofs and agreed producer/consumer semantics.,Inconsistent numeric conventions and permanent float sandwiches.,"An unbounded source field requires a new representation or explicit admitted-domain proof, not guessed saturation."
N04.03,N04,Implement and qualify the small primitive set,N04.02,False,PLANNED,Primitives meet documented numeric semantics and target codegen obligations; speed is measured with their real callers.,Software-float operations and redundant divides inside the selected fixed primitives.,A primitive faster alone but slower after conversions/64-bit helpers is not adopted into the full chain.
N04.04,N04,"Close residual camera, vector and transform chains",N04.03,False,PLANNED,Converted camera/transform producers and consumers are native end to end with no extra mirror.,"Residual mixed-representation camera/transform work, not the fixed route that already exists.",A numerical error that changes clipping/attachment/depth behavior must be corrected before acceptance.
N04.05,N04,Migrate constants and target asset numerics,N04.02; N02.03,False,PLANNED,Fixed constants/data arrive ready for native runtime consumption across converted domains.,Load-time and per-use floating numeric conversion of host-convertible target assets.,Do not edit extracted source or reference decomp to make the converter accept invalid inputs.
N04.06,N04,Build a no-float regression gate,N04.01; N04.03,False,PLANNED,The checker distinguishes static data from arithmetic and detects all exercised negative patterns; domain migration is auditable.,Future reintroduction of float and false success based only on helper-symbol disappearance.,A finite trace or blacklist alone is insufficient proof; unresolved roots keep closure open.
N05.01,N05,Derive event lanes and timing semantics,N04.02; N00.05,False,PLANNED,Every admitted speed/event regime has an explicit source-derived behavior contract and planned native representation.,Unsupported assumptions about one global exact fixed clock.,Do not remove the existing clock until its semantic replacements pass; a rational clock is not automatically source-equivalent.
N05.02,N05,Implement fixed event stepping and deadline corrections,N05.01; N04.03,False,PLANNED,Native stepping passes the admitted semantic corpus and target-cost check; unresolved regimes remain explicitly open.,Per-joint integer IEEE add/sub and repeated source wait arithmetic in qualified regimes.,Do not pad every duration by one tick or silently keep binary32 under a new name. Failure requires case-specific redesign.
N05.03,N05,Compile compact fixed tracks and constant channels,N02.03; N04.03; N05.01,False,PLANNED,A compact resident representation replaces a named track path with measured whole-domain benefit.,"Repeated source track interpretation, invariant coefficient generation and inactive/constant work beyond the existing masks.",Do not claim the already-landed live/run masks again; a larger bake that increases mandatory reads is rejected.
N05.04,N05,Create topology-owned required-joint closures,N03.02; N05.03,False,PLANNED,Every required socket is current at its consumption tick with no dependence on whether the fighter was drawn.,Repeated dependency discovery and unnecessary full hierarchy processing for gameplay consumers.,Missing one ancestor or treating visibility as gameplay inactivity blocks the change.
N05.05,N05,Make native pose authoritative through the draw pilot,N05.02; N05.03; N05.04; N03.07,False,PLANNED,Native pose drives the full pilot render chain with a net integrated improvement; legacy gameplay bridge is explicitly not final closure.,"Pose-to-render conversion sandwiches, duplicated visual pose authority and redundant copied transforms.",A native evaluator with all old publication and rebuild work still running is not a completed pose slice.
N05.06,N05,Share local/world transform results correctly,N05.05,False,PLANNED,Transform counts scale with actual changed/required nodes and no gameplay result waits on GX readback.,Duplicated CPU/GX hierarchy composition and whole-tree invalidation for unaffected work.,A faster visual hierarchy with stale gameplay sockets is rejected; keep special cases native rather than forcing generic TRS.
N05.07,N05,Expand pose and event conversion across content,N05.06,False,PLANNED,All claimed families have semantic/runtime coverage; unimplemented content remains explicitly open.,Remaining converted-family source pose/event parsing and representation conversion.,A zero mismatch count over zero comparisons or untriggered state does not close a family.
N05.08,N05,Remove legacy pose and clock authority,N05.07; N06.04,False,PLANNED,"Native pose/event producers and all consumers agree on one representation, with the old bridge physically gone.",Permanent duplicate pose/event authority and integer binary32 clock emulation in completed domains.,Do not delete fields while a source-imported callback still consumes their float ABI; move that consumer first.
N06.01,N06,Map hot game state and source process order,N04.02; N00.05,False,PLANNED,A minimal hot-state schema and exact source-observation schedule are approved before runtime migration.,Repeated cold-state access and unclear ordering/ABI assumptions; no early wholesale struct replacement.,Do not assume all consumers can use one beginning-of-tick snapshot; missing writers block narrowing invalidation.
N06.02,N06,Convert a complete movement and map-query slice,N06.01; N04.03; N05.02,False,PLANNED,The slice is native from its selected producer to publication and improves total caller cost with bridge cost included.,Float operations and pointer-heavy state traversal in the complete movement/map-query slice.,A visual approximation that changes land/ledge timing or a globally saturated overflow result is rejected.
N06.03,N06,Compile stage collision metadata and conservative candidates,N06.01; N04.03; N02.03,False,PLANNED,Generated metadata is complete and broad phase never excludes a source-valid contact in admitted domains.,Repeated static line property calculation and unnecessary narrow queries for rejected geometry.,Do not adopt a tree/bin structure whose setup/cache cost exceeds the small ordered scan or whose rounding drops contacts.
N06.04,N06,Convert interaction consumers and close gameplay pose bridges,N06.02; N06.03; N05.06,False,PLANNED,Gameplay consumers use native sockets/state and the converted domain no longer requires its legacy float pose authority.,Pose-to-game float bridges and repeated broad facts in converted interactions.,Shared-pair optimization cannot merge directed outcomes or reuse a snapshot after a stateful hit/status mutation.
N06.05,N06,Share AI query facts without changing CPU decisions,N06.04,False,PLANNED,Source-controller decisions match the specified discrete behavior and CPU cost is measured separately from its parent bucket.,Repeated deterministic AI fact calculation and associated float/conversion chains.,Four active GObjs with idle/no-op AI do not prove CPU engagement. Reject stale-phase shared facts even if average behavior looks similar.
N06.06,N06,Replace hot object traversal with bounded active sets,N06.01; N06.04,False,PLANNED,Active-set traversal is smaller/faster with identical ordering/lifetime semantics and no legal content capacity loss.,Measured hot pointer/list discovery and unnecessary generic process overhead.,Do not introduce an ECS/framework or swap-delete that changes gameplay processing order just to simplify code.
N06.07,N06,Evaluate scheduler flattening only when priced,N06.06; N06.05,True,PLANNED,"A retained scheduler is faster and mechanically equivalent, or a documented decision avoids an unhelpful rewrite.",Only measured removable scheduling overhead; optional task may close as REJECTED_NOT_NEEDED with evidence.,Any event/order mismatch or negligible removable cost ends this route; do not reengineer all scene management.
N06.08,N06,Expand fixed gameplay to all shipped domains,N06.04; N06.05; N06.06,False,PLANNED,Every shipped gameplay arithmetic root has a native implementation or remains an explicit final-closure blocker.,"Remaining gameplay float chains, old hot-state authority and conversion shims in claimed converted scope.",Do not call a domain fixed because its typical state avoids an unmigrated special/cold callback.
N07.01,N07,Compile stage invariants and actor partitions,N03.05; N02.03; N06.03,False,PLANNED,The stage partition executes natively with complete content and a smaller hot preparation path.,Per-frame source graph/material work for stage data that did not change.,Do not classify animated hazards or source-translucent groups as static merely to skip their work.
N07.02,N07,Replace remaining native actor setup scaffolding,N07.01; N03.03; N03.08,False,PLANNED,Each converted actor has a documented compact input contract and complete lifecycle proof.,Repeated configuration and immutable vertex/material setup for simple native actors.,Do not replace a missing required actor with an opaque quad or return success without geometry.
N07.03,N07,Convert particle simulation and event state,N04.03; N06.01,False,PLANNED,Fixed particles preserve required event/state behavior with no reduced live population masquerading as optimization.,"Particle software float, source numeric decoding and repeated invariant emitter work.",Offscreen or low-alpha status is not automatic permission to skip RNG or emitter state.
N07.04,N07,Build a compact native particle draw batch,N07.03; N03.08; N04.04,False,PLANNED,Batch preparation is smaller/faster and every required particle/telegraph remains represented correctly.,"Repeated camera basis, generic quad setup and conversion bridges beyond existing caches.",A low particle count or missing depth intersection invalidates the result even if the frame time improves.
N07.05,N07,"Make UI fixed, value-driven and native",N04.03; N02.05,False,PLANNED,All claimed UI surfaces are native/fixed with responsive source-consistent presentation.,"Repeated unchanged formatting/layout and residual mixed-representation UI preparation, not already-existing 2D optimizations.",Do not retain a retired software text slab or stale prior-screen image as an optimization fallback.
N07.06,N07,Qualify GPU and ordering budgets for the full scene,N07.02; N07.04; N07.05; N03.09,False,PLANNED,"CPU wins do not cause hidden GPU overflow, stalls or content loss; limits and headroom are documented.",Unnecessary graphics commands/overdraw only where equivalent native output is proved.,A CPU-only pass with GPU failure or absent geometry is RED; do not hide it behind fewer emitted primitives.
N07.07,N07,Retire converted stage/particle/UI compatibility paths,N07.06,False,PLANNED,Converted surfaces have one live native implementation and no hidden software composition route.,"Retired stage, particle and UI compatibility scaffolding and old float consumers.",Do not use a broad file deletion to remove an untested required child state.
N08.01,N08,Attribute remaining service tails and ownership,N00.03; N02.01,False,PLANNED,"All recurring services have a declared owner, budget/deadline and measured interference.",Unclassified storage clients and repeated ownership guesses; no speed credit yet.,Do not claim zero I/O from zero libfat calls or assume ARM7 has spare capacity without measurement.
N08.02,N08,Convert audio control and eliminate unnecessary decode work,N08.01; N04.03; N04.05,False,PLANNED,Native control and assets meet audible/timing contracts without missing cues or added service stalls.,"Audio-control float and host-convertible runtime decode/setup, not audio content.",Audio quality/rate/channel reductions require approval and cannot be counted as transparent code savings.
N08.03,N08,"Bound buffers, prefetch and storage scheduling",N08.02; N02.04,False,PLANNED,Declared services meet deadlines under the hardest complete scene with explicit memory cost.,Unnecessary per-event allocation/discovery and avoidable non-overlapped service tails.,A bigger buffer that causes battle admission OOM or a rare missing sound is not a win.
N08.04,N08,Overlap hardware math only under proven ownership,N04.03; N08.01,True,PLANNED,"A retained asynchronous schedule improves total cost with correct cross-user ownership, or the synchronous route remains.",Only actual exposed wait latency for a qualified math chain.,Do not count hardware math as newly implemented or adopt overlap on a stale register-writer audit.
N08.05,N08,Select and price one ARM7 candidate,N08.01; N08.03,True,PLANNED,"One candidate has a defensible protocol and total-time case, or ARM7 offload is explicitly not needed.",A named non-overlapped job only if measured benefit exceeds communication/contention costs.,No same-tick AI/collision offload with new latency; no second ARM7 storage service that duplicates an existing one.
N08.06,N08,"Prove worker coherency, cancellation and net gain",N08.05,True,PLANNED,A selected offload is safe and faster end to end; an unselected/failed route leaves no permanent framework.,"Actual critical-path ARM9 work after all worker overheads, or removal of a failed optional prototype.","Never report a faster ARM9 bracket while the join, DMA contention or audio underrun moved elsewhere."
N08.07,N08,Close audio/service runtime numerics and reachability,N08.03; N04.06,False,PLANNED,"Services satisfy the owner’s runtime-fixed requirement, independently of battle-loop arithmetic.",Remaining reachable audio/service float and retired worker/control scaffolding.,Do not exempt cold audio/control code from the all-runtime endpoint or alter library internals without a reproducible build.
N09.01,N09,Close the whole-runtime float and retirement ledger,N03.10; N05.08; N06.08; N07.07; N08.07; N04.04; N04.05; N04.06,False,PLANNED,"The owner’s fixed-runtime endpoint is structurally proved across shipped configurations, not inferred from one trace.",All remaining runtime floating arithmetic and completed-domain compatibility dependencies.,Any unresolved callback or cold path keeps this task OPEN; do not rename helpers or suppress checker findings.
N09.02,N09,Pack compact CPU-hot state into DTCM,N09.01; N02.06; N01.02,False,PLANNED,The measured DTCM map improves integrated cost within current stack and ownership proof.,Avoidable data-cache/memory stalls on the final compact CPU working set.,No ceiling increase without new stack proof; no permanent DTCM/main-RAM state mirror.
N09.03,N09,Repack ITCM around final kernels,N09.02; N01.06,False,PLANNED,ITCM residents are explicitly justified by current measured benefit and all bytes fit.,Avoidable instruction fetch stalls and remaining cold code occupying final ITCM.,Do not evict an interrupt/startup/rare-required path as dead because of a short trace.
N09.04,N09,Tune only remaining measured kernels,N09.03,False,PLANNED,"Every kept tuning change has a mechanism, tests and integrated evidence.","Remaining avoidable native instructions/memory stalls, not source-level complexity for its own sake.",Reject a microbenchmark win with worse total time or code-size pressure; do not use fast-math to fake fixed-point migration.
N09.05,N09,Remove experimental routes and rebuild shipping shape,N09.04,False,PLANNED,"The final binary, not just a routed experimental build, meets its current acceptance gates.","Temporary dual implementations, experiment knobs and measurement-only dependencies from final runtime.",A routed A/B success does not permit publishing an unmeasured hard-on ROM.
N09.06,N09,Publish the final architecture and resource ownership map,N09.05,False,PLANNED,"A new agent can identify current owners, constraints and acceptance without reading the full historical campaign.",Stale policy and restart ambiguity that could reintroduce retired paths.,Do not label an unmet performance/content/numeric gate FIXED in the handoff.
N10.01,N10,Define universal roster-stage and interaction obligations,N00.05; N02.01; N00.06,False,PLANNED,"The source-derived required sets, exact case universe, full-match procedures, supplemental interactions, slot-proof policy and requalification triggers are frozen and reproducible.",Sampled interaction coverage being presented as universal roster-stage qualification.,A representative sample is useful during development but cannot satisfy RELEASE_EXHAUSTIVE or shrink the full product scope.
N10.02,N10,Run controlled and natural four-way performance qualification,N10.01; N09.05; N00.04; N10.07; N10.08; N10.09,False,PLANNED,"Every required base case and assigned ordered/variant/interaction obligation has valid passing evidence, with independent per-case work/cadence gates and no known failing legal configuration. This qualifies the declared finite matrix, not all possible input histories.",No runtime work by itself; this proves or rejects the integrated performance endpoint.,"One legal failing case, unresolved required permutation, unavailable required fighter/stage or missing result keeps universal acceptance OPEN; pooled percentiles cannot override it."
N10.03,N10,"Qualify lifecycle, memory and service stability",N09.05; N02.06; N08.07,False,PLANNED,No leaks/stale handles/late writers/underruns or unqualified scene gaps remain in the claimed shipped scope.,No runtime work by itself; validates long-lived ownership and resource closure.,"The 1,972-frame battle script does not cover results/rematch; missing lifecycle coverage blocks this task."
N10.04,N10,"Qualify visual, mechanical and numeric completeness",N09.05; N10.01; N10.08; N03.11,False,PLANNED,Claimed shipped scope has complete native mechanics/presentation and fixed runtime without disguised IEEE helpers.,No runtime work by itself; proves representation and fidelity closure.,A matching sampled state hash alone or zero no-op error counters are insufficient.
N10.05,N10,Reproduce the release from declared inputs,N10.02; N10.03; N10.04; N09.06; N10.08,False,PLANNED,A reproducible release artifact is covered by all required final gates.,Accidental undeclared dependencies and false publication acceptance.,Compile success or a prior green hash does not qualify a changed ROM.
N10.06,N10,Close or report the precise remaining gap,N10.05,False,PLANNED,"The board clearly separates local implementation, current-content coverage, exhaustive declared roster-stage qualification, fixed-runtime closure and any remaining full-game work.",Ambiguous completion claims and duplicated status tracking.,No measured pass means no closure; preserve the recoverable checkpoint and next concrete owner instead.
N10.07,N10,Implement a resumable exhaustive matrix runner,N10.01; N00.04,False,PLANNED,"The runner can enumerate, stage, attest, collect, resume and grade every required case reproducibly without altering shipping gameplay or conflating short screening with release proof.",Manual sampled roster selection and lost or silently replaced matrix results.,"No runtime case-selector or trustworthy full-window collection means BLOCKED infrastructure, not passing coverage; do not manufacture case support from copied logs."
N10.08,N10,Implement exact-set per-case release reconciliation,N10.01; N00.04,False,PLANNED,A strict reconciler emits PASS only for a complete valid declared matrix with no known failing legal configurations; it otherwise reports exact unresolved obligations without claiming universal-history proof.,"False universal acceptance from pooled metrics, missing cases, guessed equivalence or a reduced enabled roster.","Any fabricated, missing, stale, case-mismatched or unjustifiably reused result is invalid and cannot be rescued by an aggregate green summary."
N10.09,N10,Qualify adverse four-way interactions and separate cost leaders,N10.01; N09.05; N03.11,False,PLANNED,"All declared adverse mechanism cases pass their respective gates, separate measured leaders are reproducible, and no discovered legal interaction failure remains unresolved.",One blended worst-case benchmark and individual-feature tests standing in for four-way interaction pressure.,"Do not turn an illegal forced state into a shipping workload claim or hide a legal expensive state by banning its matchup, items, hazard, CPU level or quality setting."
